,Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
85,Running,2020-03-26 16:47:00,Cherry Hill Running,4.63,464.0,36,156,175,168,176,7:51,6:49,149,155,1.22
86,Running,2020-03-25 17:08:00,Cherry Hill Running,2.02,189.0,15,146,153,170,180,7:47,6:21,89,79,1.22
87,Running,2020-03-24 18:07:00,Cherry Hill Running,3.1,316.0,23,161,176,168,174,7:41,6:30,79,85,1.25
88,Running,2020-03-22 17:26:00,Cherry Hill Running,3.03,316.0,23,160,169,168,176,7:43,7:01,79,85,1.24
89,Running,2020-03-20 16:02:00,Cherry Hill Running,2.0,208.0,15,155,162,170,176,7:52,7:19,46,52,1.21
90,Running,2020-03-19 16:58:00,Cherry Hill Running,3.5,365.0,26,159,176,168,176,7:36,6:43,101,101,1.26
91,Running,2020-03-18 17:11:00,Cherry Hill Running,1.2,58.0,558,102,140,170,178,7:46,5:43,19,3,1.21
92,Running,2020-02-22 10:19:00,Chicago Running,4.0,379.0,29,151,174,170,176,7:18,4:52,60,59,1.29
93,Running,2020-01-30 12:34:00,Chicago Running,3.0,285.0,22,150,164,172,178,7:22,2:24,54,52,1.27
94,Running,2019-11-16 11:26:00,Chicago Running,3.1,281.0,21,149,157,174,180,7:04,5:22,46,46,1.32
95,Running,2019-11-03 15:38:00,Chicago Running,5.58,581.0,43,154,164,170,178,7:47,6:29,77,82,1.22
96,Running,2019-11-02 11:25:00,Chicago Running,5.0,530.0,39,151,187,172,180,8:00,4:13,67,68,1.17
97,Running,2019-10-24 17:04:00,Chicago Running,3.18,344.0,24,157,165,172,180,7:36,1:31,31,30,1.23
98,Running,2019-10-19 09:52:00,Chicago Running,4.3,417.0,36,134,151,170,180,8:35,5:54,46,46,1.11
99,Running,2019-10-07 10:37:00,Chicago Running,4.03,388.0,28,152,166,174,182,7:03,4:32,51,52,1.32
100,Running,2019-10-06 12:33:00,Chicago Running,3.1,305.0,23,147,160,174,182,7:25,6:14,48,55,1.25
101,Running,2019-10-03 17:04:00,Chicago Running,2.52,220.0,17,146,179,172,182,6:47,5:13,17,20,1.38
102,Running,2019-10-01 16:46:00,Chicago Running,4.0,400.0,28,152,166,172,180,7:13,4:57,45,45,1.29
103,Running,2019-09-30 12:26:00,Chicago Running,2.5,227.0,17,143,150,176,182,7:02,5:56,21,28,1.3
104,Running,2019-09-28 17:31:00,Chicago Running,4.01,371.0,27,153,166,174,182,6:46,2:52,40,40,1.36
105,Running,2019-09-26 09:12:00,Chicago Running,4.01,379.0,28,149,163,176,184,7:08,6:28,49,53,1.29
106,Running,2019-09-24 18:16:00,Chicago Running,5.01,479.0,35,152,163,174,184,7:02,5:24,64,66,1.31
107,Running,2019-09-23 08:39:00,Chicago Running,3.02,284.0,21,151,163,178,184,6:59,4:20,45,48,1.3
108,Running,2019-09-20 17:08:00,Cherry Hill Running,3.0,293.0,22,142,156,176,184,7:38,6:57,101,106,1.2
109,Running,2019-09-19 18:13:00,Cherry Hill Running,3.22,279.0,22,142,156,174,180,6:52,3:19,43,47,1.34
110,Running,2019-09-18 17:05:00,Cherry Hill Running,5.01,456.0,35,147,161,174,182,7:06,6:28,192,182,1.31
111,Running,2019-09-17 17:47:00,Cherry Hill Running,5.0,475.0,36,152,168,174,182,7:12,6:20,138,142,1.28
112,Running,2019-09-16 17:57:00,Cherry Hill Running,5.01,479.0,37,149,163,174,180,7:28,6:08,163,156,1.25
113,Running,2019-09-15 17:08:00,Cherry Hill Running,4.0,388.0,29,152,176,172,198,7:23,4:32,124,127,1.27
114,Running,2019-09-14 17:10:00,Cherry Hill Running,3.5,345.0,25,152,173,174,180,7:22,6:31,117,109,1.26
115,Running,2019-09-13 15:59:00,Cherry Hill Running,4.0,386.0,28,153,168,172,180,7:14,6:30,100,104,1.3
116,Running,2019-09-11 17:49:00,Cherry Hill Running,3.49,334.0,26,152,171,172,178,7:32,6:29,107,108,1.25
117,Running,2019-09-10 18:26:00,Cherry Hill Running,4.0,376.0,28,156,175,170,178,7:07,6:07,123,119,1.33
118,Running,2019-09-09 17:24:00,Cherry Hill Running,5.0,452.0,36,149,173,170,180,7:17,4:07,179,187,1.31
119,Running,2019-09-08 19:16:00,Cherry Hill Running,4.0,356.0,29,145,156,170,178,7:17,5:57,136,129,1.29
120,Running,2019-09-05 17:55:00,Cherry Hill Running,4.0,371.0,29,148,165,172,180,7:28,5:47,152,143,1.26
121,Running,2019-08-30 11:05:00,Cherry Hill Running,2.04,190.0,15,149,162,174,180,7:26,6:41,63,68,1.25
122,Running,2019-08-28 17:49:00,Ocean City Running,4.5,455.0,35,148,166,168,174,7:59,6:23,13,13,1.2
123,Running,2019-08-24 19:48:00,Cherry Hill Running,0.78,63.0,357,129,150,170,212,7:41,3:59,7,7,1.23
124,Running,2019-08-24 19:27:00,Cherry Hill Running,0.74,74.0,471,121,128,162,168,10:35,8:37,12,12,0.94
125,Running,2019-08-19 08:36:00,Cherry Hill Running,2.45,226.0,19,136,165,170,176,8:07,1:44,29,59,1.17
126,Running,2019-08-16 17:24:00,Cherry Hill Running,4.01,355.0,27,154,174,174,180,6:47,5:21,128,133,1.37
127,Running,2019-08-14 19:23:00,Voorhees Running,4.0,371.0,28,151,173,172,180,7:11,6:17,110,109,1.3
128,Running,2019-08-13 21:05:00,Cherry Hill Running,3.0,261.0,23,136,151,170,178,7:46,6:36,107,112,1.22
129,Running,2019-08-12 19:15:00,Pennsauken Running,6.52,594.0,48,147,162,170,178,7:28,6:34,115,116,1.26
130,Running,2019-08-10 17:24:00,Cherry Hill Running,5.16,471.0,41,141,159,170,180,7:59,6:25,135,142,1.19
131,Running,2019-08-09 19:31:00,Cherry Hill Running,6.26,573.0,46,150,175,170,182,7:24,6:04,306,315,1.27
132,Running,2019-08-08 17:58:00,Cherry Hill Running,3.01,249.0,21,142,171,172,182,7:12,6:03,103,106,1.3
133,Running,2019-08-06 18:19:00,Cherry Hill Running,5.0,452.0,37,146,178,172,180,7:35,6:18,130,134,1.24
134,Running,2019-08-04 18:36:00,Cherry Hill Running,6.5,582.0,46,153,174,172,182,7:14,6:23,262,263,1.29
135,Running,2019-08-03 16:36:00,Anne Arundel County Running,4.0,345.0,27,156,178,172,182,6:51,5:10,73,72,1.36
136,Running,2019-08-02 17:09:00,Anne Arundel County Running,3.68,318.0,30,137,158,168,176,8:18,5:09,97,97,1.15
137,Running,2019-07-31 18:55:00,Cherry Hill Running,7.15,687.0,52,163,170,170,188,7:18,4:31,238,244,1.29
138,Running,2019-07-30 08:27:00,Cherry Hill Running,4.5,398.0,37,138,156,170,178,8:20,7:14,118,122,1.14
139,Running,2019-07-29 18:46:00,Voorhees Running,6.0,562.0,45,155,181,170,180,7:34,6:07,195,205,1.25
